Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
4,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,B,Letter Grade,B,Intro To Bio Anthro
1,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,B,Letter Grade,B-,Intro To Bio Anthro
1,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,C,Letter Grade,C+,Intro To Bio Anthro
1,11402,,11402,,11402,Ashley Lipps; Ashley Lipps,,Anthropology,1,001,Credit,Non-Letter Grade,Pass,Intro To Bio Anthro
2,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
5,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,A,Letter Grade,A,Intro Archaeology
1,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,A,Letter Grade,A-,Intro Archaeology
1,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,B,Letter Grade,B+,Intro Archaeology
1,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,B,Letter Grade,B-,Intro Archaeology
1,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,C,Letter Grade,C+,Intro Archaeology
1,11412,,11412,,11412,Kimberly Christensen; Kimberly Christensen,,Anthropology,2AC,001,Credit,Non-Letter Grade,Pass,Intro Archaeology
3,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
15,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,A,Letter Grade,A,Intro Soc/Cult Ac
13,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,A,Letter Grade,A-,Intro Soc/Cult Ac
4,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,B,Letter Grade,B+,Intro Soc/Cult Ac
12,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,B,Letter Grade,B,Intro Soc/Cult Ac
1,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,B,Letter Grade,B-,Intro Soc/Cult Ac
6,11420,,11420,,11420,M. George; Mary Mather George,,Anthropology,3AC,001,Credit,Non-Letter Grade,Pass,Intro Soc/Cult Ac
2,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
2,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,A,Letter Grade,A,Reading & Comp
2,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,A,Letter Grade,A-,Reading & Comp
1,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,B,Letter Grade,B+,Reading & Comp
1,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,B,Letter Grade,B-,Reading & Comp
1,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,C,Letter Grade,C+,Reading & Comp
1,11432,,11432,,11432,Laurie Wilkie; Milad Odabaei; Milad Odabaei,,Anthropology,R5B,002,F,Letter Grade,F,Reading & Comp
8,11434,,11434,,11434,Laurie Wilkie; Samuele Collu; Samuele Collu,,Anthropology,R5B,003,A,Letter Grade,A,Reading & Comp
1,11436,,11436,,11436,Ian Steele; Ian Steele; Laurie Wilkie,,Anthropology,R5B,004,A,Letter Grade,A+,Reading & Comp
5,11436,,11436,,11436,Ian Steele; Ian Steele; Laurie Wilkie,,Anthropology,R5B,004,A,Letter Grade,A,Reading & Comp
3,11436,,11436,,11436,Ian Steele; Ian Steele; Laurie Wilkie,,Anthropology,R5B,004,A,Letter Grade,A-,Reading & Comp
3,11436,,11436,,11436,Ian Steele; Ian Steele; Laurie Wilkie,,Anthropology,R5B,004,B,Letter Grade,B+,Reading & Comp
2,11438,,11438,,11438,Christopher Lowman; Christopher Lowman; Laurie Wilkie,,Anthropology,R5B,005,A,Letter Grade,A+,Reading & Comp
12,11438,,11438,,11438,Christopher Lowman; Christopher Lowman; Laurie Wilkie,,Anthropology,R5B,005,A,Letter Grade,A,Reading & Comp
1,11438,,11438,,11438,Christopher Lowman; Christopher Lowman; Laurie Wilkie,,Anthropology,R5B,005,A,Letter Grade,A-,Reading & Comp
1,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,A,Letter Grade,A+,Primate Evolution
6,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,A,Letter Grade,A,Primate Evolution
3,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,A,Letter Grade,A-,Primate Evolution
3,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,B,Letter Grade,B,Primate Evolution
2,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,B,Letter Grade,B-,Primate Evolution
2,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,C,Letter Grade,C+,Primate Evolution
1,11442,,11442,,11442,Stephanie Etting,,Anthropology,105,001,No Credit,Non-Letter Grade,Not Pass,Primate Evolution
6,11446,,11446,,11446,Christopher Roebuck; Christopher Roebuck,,Anthropology,115,001,A,Letter Grade,A,Intro Med Anthro
4,11446,,11446,,11446,Christopher Roebuck; Christopher Roebuck,,Anthropology,115,001,A,Letter Grade,A-,Intro Med Anthro
1,11446,,11446,,11446,Christopher Roebuck; Christopher Roebuck,,Anthropology,115,001,B,Letter Grade,B+,Intro Med Anthro
