Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,01683,,01683,,01683,Elisabeth Sadoulet; Jeremy Magruder,,Ag & Resource Econ & Pol,C251,001,B,Letter Grade,B+,Econ Development
1,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,A,Letter Grade,A+,Int Ec Dev Policy
6,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,A,Letter Grade,A,Int Ec Dev Policy
12,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,A,Letter Grade,A-,Int Ec Dev Policy
4,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,B,Letter Grade,B+,Int Ec Dev Policy
2,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,B,Letter Grade,B,Int Ec Dev Policy
1,01689,,01689,,01689,Alain Dejanvry,,Ag & Resource Econ & Pol,C253,002,Credit,Non-Letter Grade,Satisfactory,Int Ec Dev Policy
18,01692,,01692,,01692,Elisabeth Sadoulet,,Ag & Resource Econ & Pol,259,001,Credit,Non-Letter Grade,Satisfactory,Development Wkshop
1,01697,,01697,,01697,David Sunding; Peter Berck,,Ag & Resource Econ & Pol,265,001,A,Letter Grade,A+,Tpcs Env Res Econ
4,01697,,01697,,01697,David Sunding; Peter Berck,,Ag & Resource Econ & Pol,265,001,A,Letter Grade,A,Tpcs Env Res Econ
1,01697,,01697,,01697,David Sunding; Peter Berck,,Ag & Resource Econ & Pol,265,001,A,Letter Grade,A-,Tpcs Env Res Econ
21,01698,,01698,,01698,Peter Berck,,Ag & Resource Econ & Pol,269,001,Credit,Non-Letter Grade,Satisfactory,Resources Workshop
2,01764,,01764,,01764,Maximilian Auffhammer,,Ag & Resource Econ & Pol,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
3,01767,,01767,,01767,Peter Berck,,Ag & Resource Econ & Pol,299,003,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,01770,,01770,,01770,Alain Dejanvry,,Ag & Resource Econ & Pol,299,004,Credit,Non-Letter Grade,Satisfactory,Individual Research
